rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_high_air,positioning_percent_most_back,positioning_percent_between_players,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
grand-champion-3,21,76561199082377033,0.71,52.333,0.394,27.166,44.999,362.3,0.49,67.169,16.095,6.115,29.948,38.09,31.962,35.641,26.8,70.994,29.005,49.712,21.043,0.11,
grand-champion-3,21,45c8410f114446a1ba02fdf3f5f36099,0.39,14.583,0.41,31.25,11.666,379.9,0.5,65.526,13.903,3.995,38.385,31.313,30.302,31.191,35.112,75.603,24.396,49.302,19.596,0.19,
grand-champion-3,21,99008469cb5f42f59794da9df94be145,0.808,30.333,0.451,29.666,32.499,390.5,0.997,71.847,20.36,6.609,30.195,32.713,37.092,35.765,32.857,70.895,29.104,46.807,23.705,0.193,
grand-champion-3,21,76561198154238448,0.525,21.666,0.355,16.666,25.333,392.1,0.349,65.482,11.352,5.648,37.285,32.534,30.181,31.84,36.621,74.571,25.428,49.165,18.355,0.152,
grand-champion-3,21,6a94cff104574a8a8d309c4f13d6883e,0.666,35.833,0.286,25.0,38.5,425.2,0.734,71.13,19.552,5.633,30.739,32.094,37.167,34.572,31.248,69.329,30.67,43.469,25.267,0.149,
grand-champion-3,21,76561198046959410,0.641,34.833,0.17,28.666,27.166,421.5,0.882,69.239,17.626,5.751,30.379,33.88,35.741,32.709,35.118,70.838,29.161,40.489,25.893,0.155,
grand-champion-3,21,033b8fdbeff9479d9f755cf72a2b86e9,0.366,25.833,0.408,50.833,27.5,416.0,0.879,65.891,13.257,6.181,28.704,33.972,37.324,37.085,31.846,69.14,30.859,44.927,23.001,0.191,
grand-champion-3,21,76561198252300834,0.66,40.416,0.226,27.083,41.333,425.0,0.923,68.708,15.568,6.541,26.583,37.54,35.877,36.424,29.716,67.263,32.736,41.149,24.402,0.259,
grand-champion-3,21,76561199001482742,0.63,44.0,0.369,26.166,30.333,435.7,0.502,71.517,21.615,6.623,35.24,33.462,31.298,35.652,30.813,73.03,26.969,49.79,20.6,0.162,
grand-champion-3,21,76561198153422970,0.411,9.583,0.299,37.916,12.5,399.5,0.623,68.934,20.615,5.083,41.081,29.98,28.939,27.98,40.603,72.228,27.771,48.553,19.509,0.285,
grand-champion-3,21,76561198984773972,0.56,31.851,0.26,30.0,33.333,365.9,0.799,66.3,15.291,8.058,38.869,33.516,27.615,32.988,34.644,77.718,22.281,50.055,20.432,0.219,
grand-champion-3,21,76561199048632244,0.839,48.333,0.239,10.0,27.976,416.1,1.019,74.052,25.026,9.302,30.956,33.47,35.574,32.282,35.557,70.539,29.46,41.425,28.012,0.239,
grand-champion-3,21,76561199016278137,0.443,18.333,0.307,10.0,23.333,374.5,0.571,68.147,19.119,5.634,38.171,33.218,28.611,31.959,31.413,75.779,24.22,47.889,20.328,0.151,
grand-champion-3,21,76561198838918627,0.474,26.333,0.217,31.5,45.0,415.3,1.102,67.743,14.088,7.481,30.75,34.253,34.997,36.208,32.853,70.063,29.936,42.958,22.999,0.197,
