rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_amount_used_while_supersonic,boost_count_collected_small,boost_count_collected_big,boost_percent_zero_boost,boost_percent_boost_0_25,boost_percent_full_boost,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_neutral_third,positioning_percent_offensive_third,demo_inflicted,demo_taken
grand-champion-3,21,76561199045943969,0.528,41.666,0.217,15.833,52.833,422.5,85.868,14.157,4.071,12.399,37.619,9.499,0.58,70.943,20.844,55.71,37.56,6.729,36.299,30.821,30.279,36.64,70.951,29.048,48.108,32.168,19.723,0.211,0.257
grand-champion-3,21,76561198887002043,0.56,35.833,0.2,35.0,23.19,448.4,68.18,14.639,4.0,13.457,41.942,7.662,0.859,67.865,19.033,48.823,44.232,6.943,32.779,33.513,35.445,30.987,71.829,28.17,44.601,32.892,22.506,0.12,0.12
grand-champion-3,21,76561198873867084,0.492,39.814,0.191,23.148,34.0,345.3,60.375,11.18,3.171,13.369,34.55,10.437,0.646,68.913,18.097,57.598,37.327,5.074,33.076,33.358,30.858,35.259,70.319,29.68,49.255,29.647,21.096,0.314,0.217
grand-champion-3,21,76561198870300802,0.578,30.666,0.283,50.166,22.499,446.5,94.948,12.234,4.102,19.232,42.74,7.214,0.751,71.213,20.893,56.461,38.292,5.245,35.409,30.752,32.853,32.798,76.089,23.91,48.444,33.355,18.199,0.232,0.118
grand-champion-3,21,76561197993003584,0.637,32.407,0.394,21.296,28.5,497.6,96.222,13.364,4.853,15.025,35.458,11.209,1.011,72.613,26.937,50.581,42.675,6.742,36.532,32.067,33.021,37.442,73.586,26.413,46.319,30.395,23.285,0.428,0.194
grand-champion-3,21,76561199082377033,0.71,52.333,0.394,27.166,44.999,362.3,53.318,10.155,3.47,10.925,30.478,13.816,0.49,67.169,16.095,56.7,37.184,6.115,29.948,31.962,35.641,26.8,70.994,29.005,49.712,29.243,21.043,0.11,0.159
grand-champion-3,21,45c8410f114446a1ba02fdf3f5f36099,0.39,14.583,0.41,31.25,11.666,379.9,75.117,12.788,3.155,12.413,41.384,6.83,0.5,65.526,13.903,60.819,35.184,3.995,38.385,30.302,31.191,35.112,75.603,24.396,49.302,31.1,19.596,0.19,0.28
grand-champion-3,21,99008469cb5f42f59794da9df94be145,0.808,30.333,0.451,29.666,32.499,390.5,60.699,15.789,4.465,6.56,23.528,18.655,0.997,71.847,20.36,51.616,41.774,6.609,30.195,37.092,35.765,32.857,70.895,29.104,46.807,29.487,23.705,0.193,0.086
grand-champion-3,21,76561198154238448,0.525,21.666,0.355,16.666,25.333,392.1,35.439,16.249,2.822,12.656,39.755,5.132,0.349,65.482,11.352,50.008,44.343,5.648,37.285,30.181,31.84,36.621,74.571,25.428,49.165,32.478,18.355,0.152,0.181
grand-champion-3,21,6a94cff104574a8a8d309c4f13d6883e,0.666,35.833,0.286,25.0,38.5,425.2,75.84,11.863,3.819,22.281,49.865,7.366,0.734,71.13,19.552,52.12,42.245,5.633,30.739,37.167,34.572,31.248,69.329,30.67,43.469,31.263,25.267,0.149,0.174
grand-champion-3,21,76561198046959410,0.641,34.833,0.17,28.666,27.166,421.5,76.376,10.841,4.027,18.443,38.564,9.974,0.882,69.239,17.626,52.514,41.734,5.751,30.379,35.741,32.709,35.118,70.838,29.161,40.489,33.616,25.893,0.155,0.18
grand-champion-3,21,033b8fdbeff9479d9f755cf72a2b86e9,0.366,25.833,0.408,50.833,27.5,416.0,58.43,13.537,3.671,9.68,32.869,7.748,0.879,65.891,13.257,54.725,39.092,6.181,28.704,37.324,37.085,31.846,69.14,30.859,44.927,32.07,23.001,0.191,0.157
grand-champion-3,21,76561198252300834,0.66,40.416,0.226,27.083,41.333,425.0,73.721,11.296,3.879,16.673,44.821,7.39,0.923,68.708,15.568,54.711,38.746,6.541,26.583,35.877,36.424,29.716,67.263,32.736,41.149,34.448,24.402,0.259,0.219
grand-champion-3,21,76561199001482742,0.63,44.0,0.369,26.166,30.333,435.7,82.079,14.796,3.846,14.823,43.305,7.919,0.502,71.517,21.615,53.057,40.318,6.623,35.24,31.298,35.652,30.813,73.03,26.969,49.79,29.609,20.6,0.162,0.214
grand-champion-3,21,76561198153422970,0.411,9.583,0.299,37.916,12.5,399.5,88.355,12.412,3.545,15.881,39.051,7.965,0.623,68.934,20.615,53.45,41.466,5.083,41.081,28.939,27.98,40.603,72.228,27.771,48.553,31.936,19.509,0.285,0.209
grand-champion-3,21,76561198984773972,0.56,31.851,0.26,30.0,33.333,365.9,57.0,9.1,3.66,10.233,26.007,16.989,0.799,66.3,15.291,54.099,37.842,8.058,38.869,27.615,32.988,34.644,77.718,22.281,50.055,29.512,20.432,0.219,0.1
grand-champion-3,21,76561199048632244,0.839,48.333,0.239,10.0,27.976,416.1,36.415,10.63,5.015,7.706,29.278,14.158,1.019,74.052,25.026,44.102,46.594,9.302,30.956,35.574,32.282,35.557,70.539,29.46,41.425,30.562,28.012,0.239,0.2
grand-champion-3,21,76561199016278137,0.443,18.333,0.307,10.0,23.333,374.5,47.918,10.451,3.94,10.666,27.783,17.969,0.571,68.147,19.119,50.874,43.491,5.634,38.171,28.611,31.959,31.413,75.779,24.22,47.889,31.781,20.328,0.151,0.215
grand-champion-3,21,76561198838918627,0.474,26.333,0.217,31.5,45.0,415.3,51.899,10.085,4.105,18.874,38.342,9.658,1.102,67.743,14.088,51.82,40.697,7.481,30.75,34.997,36.208,32.853,70.063,29.936,42.958,34.041,22.999,0.197,0.288
grand-champion-3,21,76561198086723604,0.588,62.962,0.294,9.259,39.499,420.9,60.278,10.108,4.541,10.443,34.176,16.367,0.745,66.286,15.177,54.777,37.647,7.575,33.492,34.399,34.026,34.386,68.461,31.538,47.864,31.998,20.137,0.317,0.097
grand-champion-3,21,37589e469be84a848ca150fbe5b4866d,0.46,36.111,0.214,2.777,24.166,382.2,60.124,10.539,3.68,12.534,35.283,15.121,0.775,66.491,14.308,51.731,40.855,7.413,34.518,32.493,32.27,33.614,71.507,28.492,48.067,31.818,20.114,0.293,0.262
grand-champion-3,21,76561199070082896,0.747,38.333,0.139,35.0,17.666,390.3,45.021,12.675,3.499,13.01,40.848,10.739,0.915,68.313,15.254,51.021,40.686,8.291,29.21,37.323,33.061,34.52,67.263,32.736,45.805,30.608,23.585,0.39,0.192
grand-champion-3,21,76561198354694053,0.765,61.666,0.289,15.0,39.357,442.2,80.997,12.121,4.245,14.313,34.934,11.138,0.782,70.686,20.829,53.219,40.826,5.954,33.581,35.058,32.752,36.303,71.449,28.55,43.979,32.111,23.908,0.148,0.13
grand-champion-2,20,76561198880915385,0.666,65.0,0.275,13.333,44.333,401.6,65.671,11.725,4.169,12.921,37.09,12.136,0.693,70.986,21.488,51.374,40.915,7.709,36.026,32.142,33.265,32.886,73.415,26.584,49.708,30.936,19.355,0.08,0.193
grand-champion-2,20,76561198303489488,0.297,10.833,0.265,31.666,15.833,359.7,67.968,12.151,3.558,7.458,25.754,12.68,0.813,68.2,18.053,53.906,39.022,7.071,31.712,35.709,34.913,34.191,68.685,31.314,49.845,28.955,21.198,0.14,0.25
grand-champion-2,20,76561198147545404,0.851,54.166,0.336,27.5,34.499,430.5,82.718,15.198,4.078,8.95,33.442,9.475,0.875,72.495,25.267,52.515,41.115,6.368,31.299,35.999,36.266,30.416,71.959,28.04,47.188,30.615,22.196,0.531,0.191
grand-champion-2,20,76561198416991164,0.434,32.5,0.379,41.666,33.999,370.7,50.292,11.298,4.349,7.662,26.207,12.268,0.731,66.969,13.874,58.925,33.718,7.355,32.005,33.704,32.479,34.174,71.952,28.047,47.029,32.635,20.335,0.318,0.12
grand-champion-2,20,76561198447254742,0.426,37.5,0.412,10.833,31.666,365.7,41.366,11.53,3.617,12.354,34.904,14.303,0.526,65.282,13.462,54.037,41.0,4.961,33.452,30.832,34.631,30.385,74.619,25.38,54.508,27.827,17.663,0.093,0.133
grand-champion-2,20,ee458ee713cd4d8e8f416c8d235924b6,0.457,30.952,0.199,39.285,24.833,463.7,76.093,11.513,4.594,11.097,31.184,15.217,0.991,71.682,20.892,50.166,40.582,9.251,30.736,40.064,34.029,35.315,65.398,34.601,40.14,34.029,25.829,0.2,0.119
grand-champion-2,20,2917749ab4df435e8f0f901de1548a1f,0.415,31.666,0.249,33.333,36.166,395.8,64.124,10.156,3.972,9.55,31.512,14.624,0.903,68.452,16.879,53.744,40.112,6.142,35.934,32.21,34.346,33.216,74.483,25.516,44.318,33.726,21.954,0.278,0.159
grand-champion-2,20,76561198093297973,0.64,55.555,0.276,11.111,38.428,342.7,33.916,14.165,3.173,8.357,27.64,12.377,0.895,65.799,14.566,58.31,35.838,5.851,34.785,29.98,33.694,33.0,72.858,27.141,46.599,29.983,23.416,0.176,0.32
grand-champion-2,20,76561198076351523,0.484,37.5,0.292,37.333,39.499,379.9,62.547,11.175,3.753,13.615,34.251,14.212,0.659,69.373,20.276,53.249,40.821,5.929,34.419,34.195,31.372,38.036,70.873,29.126,48.126,29.345,22.527,0.256,0.094
grand-champion-2,20,04abd24a8af547668c405d2d717026a0,0.651,25.833,0.212,43.333,16.666,378.2,37.094,12.95,3.408,9.56,30.76,9.495,0.464,68.956,14.276,52.731,40.769,6.499,36.134,34.242,33.154,36.034,72.753,27.246,44.087,33.984,21.928,0.217,0.09
grand-champion-2,20,76561198017390269,0.694,25.925,0.224,25.0,13.666,347.5,43.343,13.995,3.151,6.279,26.733,10.332,0.765,66.795,13.877,57.853,37.598,4.548,33.134,31.328,32.839,30.844,72.947,27.052,42.822,34.168,23.008,0.1,0.188
grand-champion-2,20,76561198427785590,0.518,55.208,0.172,28.125,41.999,462.5,84.363,12.181,4.464,11.831,36.921,5.126,0.726,73.869,27.514,52.962,41.024,6.013,35.49,33.074,31.439,37.164,69.031,30.968,46.657,30.488,22.853,0.367,0.19
grand-champion-2,20,76561198320228215,0.616,15.625,0.3,35.416,12.499,414.9,54.442,12.301,3.681,16.918,39.03,7.956,0.64,68.686,18.063,50.166,42.805,7.027,34.892,32.755,35.932,31.026,70.286,29.713,43.776,33.451,22.772,0.272,0.28
grand-champion-2,20,76561198845535352,0.448,35.714,0.262,28.571,15.666,433.5,59.961,10.907,4.042,16.851,38.541,9.08,0.66,71.421,19.434,56.676,37.773,5.55,32.015,33.283,29.645,37.996,70.676,29.323,45.694,31.459,22.846,0.152,0.382
grand-champion-2,20,Mericristmas,0.507,40.833,0.285,30.833,54.999,445.2,88.506,13.098,4.28,11.969,39.698,9.852,0.623,72.513,24.567,49.699,42.052,8.247,31.26,33.438,36.394,28.795,72.741,27.258,46.801,30.096,23.102,0.123,0.14
grand-champion-2,20,nioh-_-1327,0.636,72.916,0.355,10.416,28.999,437.3,80.035,12.118,3.907,14.051,36.684,13.107,0.548,68.3,17.231,52.427,40.873,6.699,32.472,34.367,38.872,29.11,68.744,31.255,46.446,31.135,22.417,0.217,0.09
grand-champion-2,20,76561198138088365,0.596,25.333,0.257,7.5,17.833,402.3,31.681,12.452,3.713,12.107,31.986,10.767,0.832,65.743,13.455,55.133,39.082,5.783,33.422,32.774,31.669,34.577,69.326,30.673,41.52,34.317,24.161,0.164,0.192
grand-champion-2,20,6b77f506c67c4cb0bc5a52c6e667ffc1,0.432,30.952,0.232,19.047,30.0,384.6,42.036,14.186,2.707,13.505,38.28,5.434,0.62,69.399,16.037,51.931,41.448,6.62,30.902,35.046,34.93,30.354,69.169,30.83,46.438,31.868,21.693,0.236,0.104
grand-champion-2,20,76561198357314118,0.833,44.0,0.275,25.333,33.999,456.1,53.201,10.778,4.304,12.945,39.178,8.186,1.19,68.978,17.53,53.691,40.843,5.465,31.658,35.437,34.861,32.141,71.939,28.06,41.372,34.522,24.104,0.08,0.198
grand-champion-2,20,e4251a0f0b274744949f205ca2f53d66,0.493,40.0,0.374,22.5,25.428,377.0,31.276,11.645,3.399,11.561,32.666,12.875,0.47,65.76,14.764,47.879,44.511,7.609,37.952,31.332,35.358,33.739,76.982,23.017,50.452,30.486,19.061,0.219,0.278
grand-champion-2,20,21ebdf680dfb4e3399a2d568b7238741,0.548,34.761,0.11,21.19,35.75,392.4,61.529,13.329,3.848,9.676,26.447,13.708,0.771,66.499,15.422,59.877,35.224,4.898,30.144,35.021,31.444,35.291,70.582,29.417,45.561,34.203,20.234,0.06,0.244
grand-champion-2,20,76561198127231997,0.236,17.833,0.214,18.833,22.5,376.1,42.276,10.071,3.179,14.368,37.139,14.592,0.326,67.782,17.418,49.549,43.567,6.882,38.306,31.221,33.273,36.21,74.796,25.203,48.651,32.928,18.42,0.078,0.153
grand-champion-2,20,76561198082985131,0.338,27.777,0.278,27.777,34.166,369.4,37.542,12.781,3.258,11.706,34.62,11.645,0.914,65.739,11.4,57.131,36.644,6.223,28.692,36.928,33.421,32.494,66.474,33.525,48.074,33.179,18.745,0.198,0.158
grand-champion-2,20,76561198308753155,0.416,11.666,0.22,32.5,16.666,320.7,26.386,11.206,2.927,8.413,28.042,16.823,0.515,62.739,10.889,55.886,37.04,7.073,36.052,29.141,31.094,33.985,71.895,28.104,47.745,32.465,19.788,0.179,0.28
grand-champion-2,20,76561198166694285,0.49,35.185,0.293,3.703,25.166,353.7,59.996,11.665,3.35,9.385,26.118,11.961,0.845,66.656,14.411,57.569,36.546,5.883,35.923,31.522,31.603,35.01,71.796,28.203,43.197,32.542,24.26,0.216,0.189
grand-champion-2,20,76561198065191659,0.612,40.785,0.356,27.357,29.119,399.6,56.935,11.73,4.216,10.513,33.372,16.191,1.224,68.452,17.173,53.965,39.928,6.106,28.54,38.352,33.584,33.41,67.751,32.248,42.912,31.976,25.11,0.353,0.1
grand-champion-2,20,cd8ac4349e1f4274be3146aeec1b0bfc,0.507,45.666,0.228,20.333,33.69,329.0,27.802,8.631,3.235,9.389,30.771,14.146,0.787,66.117,14.386,52.617,41.465,5.917,30.778,36.276,33.21,31.089,67.079,32.92,44.653,32.286,23.06,0.275,0.193
grand-champion-2,20,Stocktane_,0.52,35.666,0.233,29.833,24.999,391.8,66.059,8.85,4.257,10.867,28.335,16.469,1.079,68.008,16.619,57.125,37.23,5.643,36.326,35.198,32.7,39.246,70.786,29.213,42.838,32.889,24.272,0.2,0.16
grand-champion-2,20,76561198259081921,0.46,25.0,0.399,41.666,15.0,428.9,59.48,10.46,4.04,19.358,44.629,10.264,0.74,67.891,16.016,53.683,39.367,6.948,34.832,34.27,36.986,32.525,71.729,28.27,45.706,30.474,23.818,0.12,0.12
grand-champion-2,20,76561198064790093,0.56,56.481,0.408,17.592,32.166,362.4,48.677,12.597,3.691,5.754,21.374,10.889,0.536,65.056,12.407,58.651,36.396,4.951,33.6,30.128,33.364,32.227,77.656,22.343,54.498,28.878,16.622,0.0,0.136
grand-champion-1,19,76561198355993700,0.357,33.166,0.317,41.0,48.333,360.7,31.911,12.25,3.214,12.588,38.187,12.111,0.258,66.778,11.552,54.543,39.903,5.552,35.293,31.012,33.393,33.409,73.258,26.741,49.353,32.438,18.208,0.038,0.198
grand-champion-1,19,76561198150412982,0.374,30.555,0.12,0.0,15.666,380.2,43.813,10.033,3.353,16.244,35.558,8.766,0.702,66.569,12.288,56.419,38.598,4.982,33.865,32.772,33.729,33.504,71.069,28.93,45.552,32.723,21.723,0.1,0.253
grand-champion-1,19,76561198993576709,0.42,20.185,0.159,37.407,26.666,327.9,23.019,14.9,2.759,8.033,28.645,8.689,0.3,62.591,7.584,56.644,38.928,4.426,34.456,33.658,32.924,35.735,71.665,28.334,46.585,33.447,19.967,0.12,0.14
grand-champion-1,19,ef5f6124076f4384b257e1359363ea91,0.67,47.0,0.373,24.833,37.333,385.7,32.108,8.995,4.006,13.234,32.067,10.362,0.607,63.095,9.929,59.269,35.079,5.65,42.424,25.503,33.081,34.54,80.768,19.231,54.252,29.568,16.179,0.137,0.191
grand-champion-1,19,76561199020489136,0.57,31.166,0.193,30.333,27.666,362.6,45.848,11.464,3.678,7.424,27.785,18.327,0.802,63.934,10.225,61.411,32.376,6.211,29.533,38.894,34.123,36.108,69.73,30.269,44.251,34.301,21.447,0.177,0.196
grand-champion-1,19,049b6ce3b0674ef9a817d3199ba6a285,0.356,34.444,0.193,26.296,37.5,363.3,44.734,10.665,3.128,15.518,37.623,7.944,0.698,64.643,10.671,61.593,36.43,1.975,28.285,36.471,31.95,32.017,70.068,29.931,48.092,32.578,19.328,0.259,0.199
grand-champion-1,19,c15f18dad47541f0abfa928e150fd5a8,0.695,51.111,0.354,5.925,37.666,395.8,52.195,8.54,4.151,9.379,25.632,20.686,0.501,64.03,11.232,59.131,35.79,5.078,40.737,28.651,37.892,30.834,79.473,20.526,54.22,28.411,17.367,0.167,0.253
grand-champion-1,19,e4ef3172311b41eea1b183c8bf653516,0.472,41.666,0.248,15.0,42.499,395.5,77.032,11.911,3.7,9.94,31.413,9.369,0.592,65.686,14.819,60.102,36.043,3.854,34.568,28.866,34.972,30.914,75.09,24.909,52.323,30.24,17.435,0.173,0.23
