index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_amount_used_while_supersonic,boost_count_collected_small,boost_count_collected_big,boost_percent_zero_boost,boost_percent_boost_0_25,boost_percent_full_boost,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_neutral_third,positioning_percent_offensive_third,demo_inflicted,demo_taken,playstyle
79,grand-champion-2,20,e4251a0f0b274744949f205ca2f53d66,0.493,40.0,0.374,22.5,25.428,377.0,31.276,11.645,3.399,11.561,32.666,12.875,0.47,65.76,14.764,47.879,44.511,7.609,37.952,31.332,35.358,33.739,76.982,23.017,50.452,30.486,19.061,0.219,0.278,defender
81,grand-champion-2,20,7.66E+16,0.236,17.833,0.214,18.833,22.5,376.1,42.276,10.071,3.179,14.368,37.139,14.592,0.326,67.782,17.418,49.549,43.567,6.882,38.306,31.221,33.273,36.21,74.796,25.203,48.651,32.928,18.42,0.078,0.153,defender
82,grand-champion-2,20,7.66E+16,0.338,27.777,0.278,27.777,34.166,369.4,37.542,12.781,3.258,11.706,34.62,11.645,0.914,65.739,11.4,57.131,36.644,6.223,28.692,36.928,33.421,32.494,66.474,33.525,48.074,33.179,18.745,0.198,0.158,enforcer
83,grand-champion-2,20,7.66E+16,0.416,11.666,0.22,32.5,16.666,320.7,26.386,11.206,2.927,8.413,28.042,16.823,0.515,62.739,10.889,55.886,37.04,7.073,36.052,29.141,31.094,33.985,71.895,28.104,47.745,32.465,19.788,0.179,0.28,freestyler
85,grand-champion-2,20,7.66E+16,0.612,40.785,0.356,27.357,29.119,399.6,56.935,11.73,4.216,10.513,33.372,16.191,1.224,68.452,17.173,53.965,39.928,6.106,28.54,38.352,33.584,33.41,67.751,32.248,42.912,31.976,25.11,0.353,0.1,enforcer
86,grand-champion-2,20,cd8ac4349e1f4274be3146aeec1b0bfc,0.507,45.666,0.228,20.333,33.69,329.0,27.802,8.631,3.235,9.389,30.771,14.146,0.787,66.117,14.386,52.617,41.465,5.917,30.778,36.276,33.21,31.089,67.079,32.92,44.653,32.286,23.06,0.275,0.193,enforcer
87,grand-champion-2,20,Stocktane_,0.52,35.666,0.233,29.833,24.999,391.8,66.059,8.85,4.257,10.867,28.335,16.469,1.079,68.008,16.619,57.125,37.23,5.643,36.326,35.198,32.7,39.246,70.786,29.213,42.838,32.889,24.272,0.2,0.16,defender
88,grand-champion-2,20,7.66E+16,0.46,25.0,0.399,41.666,15.0,428.9,59.48,10.46,4.04,19.358,44.629,10.264,0.74,67.891,16.016,53.683,39.367,6.948,34.832,34.27,36.986,32.525,71.729,28.27,45.706,30.474,23.818,0.12,0.12,ball_chaser
89,grand-champion-2,20,7.66E+16,0.56,56.481,0.408,17.592,32.166,362.4,48.677,12.597,3.691,5.754,21.374,10.889,0.536,65.056,12.407,58.651,36.396,4.951,33.6,30.128,33.364,32.227,77.656,22.343,54.498,28.878,16.622,0.0,0.136,defender
90,grand-champion-1,19,7.66E+16,0.357,33.166,0.317,41.0,48.333,360.7,31.911,12.25,3.214,12.588,38.187,12.111,0.258,66.778,11.552,54.543,39.903,5.552,35.293,31.012,33.393,33.409,73.258,26.741,49.353,32.438,18.208,0.038,0.198,playmaker
