index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
1,supersonic-legend,22,7.66E+16,0.618,23.333,0.344,28.333,21.999,356.4,0.579,64.691,14.672,49.775,8.033,34.606,34.162,31.889,38.086,74.061,25.938,42.876,24.212,0.057,
2,supersonic-legend,22,7.66E+16,0.739,31.481,0.26,35.185,21.666,425.3,0.7,69.956,18.583,51.997,8.126,32.437,36.097,36.947,29.935,71.293,28.706,44.052,23.735,0.14,
3,supersonic-legend,22,7.66E+16,0.534,27,0.234,42.666,18.333,397.1,0.614,67.16,16.219,52.867,7.116,37.884,30.117,33.829,33.01,74.734,25.265,50.78,17.719,0.294,
4,supersonic-legend,22,7.66E+16,0.514,27.777,0.263,16.666,22.499,471.5,1.018,67.695,15.149,53.634,6.459,30.287,36.811,33.268,32.203,67.487,32.512,42.696,23.745,0.15,
5,supersonic-legend,22,7.66E+16,0.56,35.833,0.2,35,23.19,448.4,0.859,67.865,19.033,48.823,6.943,32.779,33.513,35.445,30.987,71.829,28.17,44.601,22.506,0.12,
6,supersonic-legend,22,cf78e7f3566c440192a2b2dd4d957cdb,0.38,22.222,0.387,37.962,25.357,461.1,0.61,69.573,18.753,55.187,5.952,40.698,26.295,28.788,38.068,75.973,24.026,49.851,17.428,0.324,
7,supersonic-legend,22,7.66E+16,0.393,43.333,0.209,20,36.666,374.7,0.292,63.56,11.048,54.726,7.999,38.929,30.456,30.543,38.35,73.204,26.795,51.467,15.662,0.232,
8,supersonic-legend,22,7.66E+16,0.541,66.296,0.22,13.888,48.5,379.9,0.449,65.547,13.734,53.36,5.928,36.08,32.655,34.733,32.304,74.44,25.559,51.922,17.97,0.299,
9,supersonic-legend,22,7.66E+16,0.416,25,0.154,40,14.166,422.1,0.599,67.839,16.761,60.421,6.105,30.428,37.089,33.326,33.39,67.709,32.29,45.297,18.915,0.388,
10,supersonic-legend,22,7.66E+16,0.731,52.592,0.202,30.185,31.023,379.3,0.522,64.308,10.827,55.13,7.074,35.153,30.933,34.044,32.133,72.11,27.889,48.06,21.002,0.271,
11,supersonic-legend,22,7.66E+16,0.736,27.777,0.288,25,18.166,475.5,0.952,70.643,22.633,51.489,8.119,33.772,36.728,32.691,37.055,71.461,28.538,43.849,24.551,0.214,
12,supersonic-legend,22,7.66E+16,0.36,17.592,0.26,25,20.833,317.6,0.54,63.047,11.714,56.4,6.153,34.72,31.12,32.223,32.758,74.513,25.486,46.852,20.607,0.28,
13,supersonic-legend,22,7.66E+16,0.763,50.666,0.246,22,43.777,381.4,0.904,68.734,15.344,48.886,6.726,30.881,36.952,38.048,29.279,71.769,28.23,48.972,22.054,0.255,
14,supersonic-legend,22,bebb996b68284b54acfc06418d150f19,0.351,29,0.388,23.5,56.666,399.3,0.694,69.73,18.206,49.678,5.963,37.129,30.977,31.969,35.248,75.245,24.754,51.805,18.144,0.196,
15,supersonic-legend,22,7.66E+16,0.773,34,0.302,23.5,32.638,424.3,0.728,69.826,17.458,53.832,7.34,29.631,35.919,38.759,28.228,72.796,27.203,47.064,22.088,0.233,
16,supersonic-legend,22,88d0ec490e3e4fbb8c127bfd6dcc98e4,0.455,30,0.267,32.5,24.761,415.2,0.697,65.013,13.306,54.177,6.817,33.528,33.201,35.499,32.441,72.656,27.343,48.182,20.728,0.321,
17,supersonic-legend,22,7.66E+16,0.467,21.666,0.22,19.166,20.666,416.7,0.683,69.843,22.797,59.667,5.498,37.373,32.416,29.919,35.823,74.687,25.312,47.929,19.433,0.294,
18,supersonic-legend,22,7.66E+16,0.582,67.222,0.174,12.222,62.999,428.8,0.971,71.739,20.144,50.934,7.023,32.592,33.39,34.91,32.124,67.456,32.543,46.528,22.101,0.14,
19,supersonic-legend,22,7.66E+16,0.639,52.777,0.363,17.592,23.499,353.5,0.598,65.052,13.738,53.469,7.596,34.021,32.066,36.308,30.476,73.643,26.356,47.597,21.406,0.163,
