index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_amount_used_while_supersonic,boost_count_collected_small,boost_count_collected_big,boost_percent_zero_boost,boost_percent_boost_0_25,boost_percent_full_boost,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_neutral_third,positioning_percent_offensive_third,demo_inflicted,demo_taken,playstyle
275,champion-1,16,fe30f18509244bee843a82fe11a4c6ef,0.704,61.666,0.276,16.666,33.69,422.8,82.536,9.024,4.6,14.468,29.176,12.594,0.816,64.708,13.707,57.901,37.081,5.017,46.466,55.319,51.862,49.935,69.2,30.799,44.081,28.779,27.138,0.296,0.196,enforcer
276,champion-1,16,7.66E+16,0.901,47.833,0.271,32.666,37.999,401.1,49.612,10.676,4.174,14.666,33.255,8.267,0.795,65.2,12.991,62.107,34.574,3.318,51.719,49.582,47.571,53.721,73.836,26.163,47.231,30.472,22.295,0.173,0.218,playmaker
277,champion-1,16,tymmyty,0.661,37.166,0.16,19.833,49.166,353.9,66.483,7.724,3.868,11.61,30.404,16.693,0.697,61.443,10.878,62.075,34.591,3.333,48.36,53.051,47.701,53.699,70.086,29.913,47.569,32.308,20.121,0.154,0.119,enforcer
279,champion-1,16,7.66E+16,0.635,27.333,0.376,25.666,30.0,361.0,49.369,12.173,3.502,9.052,30.587,9.838,0.695,66.93,13.149,61.734,34.536,3.728,53.585,47.356,46.712,54.235,74.88,25.119,46.362,32.31,21.326,0.14,0.078,defender
280,champion-1,16,7.66E+16,0.597,53.166,0.222,21.166,47.499,428.5,71.328,9.565,4.355,12.808,31.704,9.668,0.649,64.0,13.541,51.45,43.881,4.668,45.809,55.743,58.52,43.024,69.318,30.681,48.936,28.709,22.353,0.233,0.172,ball_chaser
281,champion-1,16,Szymon206x,0.578,32.5,0.253,36.666,33.857,329.6,69.445,7.3,3.511,10.782,33.856,11.279,0.629,57.804,7.692,65.46,31.382,3.157,47.386,52.668,53.097,46.856,71.795,28.204,51.159,28.071,20.769,0.106,0.253,ball_chaser
282,champion-1,16,7.66E+16,1.017,70.071,0.237,23.5,35.571,410.0,71.604,8.132,4.681,10.226,31.558,12.604,0.982,65.991,12.951,53.62,41.736,4.643,48.406,51.64,56.911,43.134,73.577,26.422,47.22,28.872,23.907,0.057,0.277,ball_chaser
283,champion-1,16,7.66E+16,0.457,29.928,0.36,50.857,24.833,319.0,66.346,9.381,3.183,14.669,37.77,12.877,0.8,62.639,10.944,62.609,35.004,2.385,52.853,48.185,43.046,58.006,71.728,28.271,48.1,29.148,22.75,0.199,0.074,playmaker
284,champion-1,16,02fc9631f9010900,0.818,51.666,0.279,16.666,56.214,399.8,62.722,8.547,4.394,9.48,28.346,14.104,0.839,65.682,12.413,56.009,39.477,4.512,44.641,55.416,49.471,50.573,67.525,32.474,42.749,32.357,24.893,0.1,0.119,freestyler
285,champion-1,16,e76c7f2c4786462e82ac793ecb140553,0.92,53.796,0.48,21.666,41.952,436.5,75.1,9.539,5.34,13.161,29.266,12.513,0.58,69.543,20.119,54.356,40.816,4.826,54.053,47.059,45.03,56.081,76.397,23.602,52.658,29.188,18.153,0.1,0.14,defender
286,champion-1,16,d27bd4ff65f941f6b48586d2be5e9a53,0.616,33.333,0.179,38.75,39.166,453.4,83.604,10.959,5.256,14.043,32.311,10.548,0.859,66.117,16.348,59.727,38.032,2.239,51.115,48.988,50.657,49.448,74.092,25.907,49.157,31.062,19.779,0.259,0.118,playmaker
287,champion-1,16,6a39c49e0d3b4521b34042d72fc4968a,0.64,56.666,0.397,20.0,46.388,369.3,67.268,13.24,3.589,8.386,28.569,10.615,0.733,64.382,12.485,61.932,34.424,3.643,53.675,47.076,47.192,53.556,73.778,26.221,49.954,30.04,20.004,0.21,0.259,defender
288,champion-1,16,7.66E+16,0.806,57.962,0.276,33.703,35.916,388.5,63.165,10.653,4.4,10.734,25.083,14.086,0.976,65.613,13.128,62.31,34.457,3.232,49.955,50.222,52.326,47.847,73.582,26.417,44.215,32.431,23.353,0.236,0.1,playmaker
289,champion-1,16,ef49e1dff3010900,0.752,35.833,0.179,41.666,27.249,410.3,40.943,8.149,4.575,13.67,25.702,19.45,0.595,67.447,12.017,60.432,34.911,4.656,49.264,52.01,49.029,52.209,73.373,26.626,44.651,31.165,24.182,0.02,0.217,freestyler
291,champion-1,16,7.66E+16,0.997,47.5,0.269,25.333,37.499,285.5,19.804,12.674,2.554,8.012,32.413,9.225,0.633,60.847,10.17,57.376,38.337,4.286,47.724,53.556,50.727,50.515,72.521,27.478,45.739,30.33,23.93,0.189,0.1,enforcer
292,champion-1,16,7.66E+16,0.659,55.833,0.24,41.666,34.166,420.9,70.74,8.54,4.18,15.92,37.315,19.608,0.68,63.821,11.946,55.574,40.561,3.864,48.662,51.624,51.031,49.26,71.972,28.027,48.534,31.515,19.949,0.24,0.24,playmaker
294,champion-1,16,c655d7368fa84ad194f08ef51729db58,0.76,54.814,0.26,11.481,35.714,413.3,33.24,11.96,3.96,21.026,39.796,9.44,0.36,66.652,14.992,55.017,41.818,3.164,51.29,48.267,51.94,47.583,77.837,22.162,48.253,33.917,17.828,0.1,0.08,ball_chaser
296,champion-1,16,19801c2b2ec145019af4b5c0a43d9855,0.78,48.0,0.277,26.166,44.0,443.8,27.335,10.156,4.452,15.835,36.765,10.204,0.548,64.273,10.756,56.383,38.363,5.252,48.713,52.607,52.098,49.215,70.991,29.008,50.994,31.326,17.679,0.078,0.179,freestyler
298,champion-1,16,7.66E+16,0.823,71.0,0.22,5.0,58.333,347.2,39.181,12.956,3.822,7.955,25.585,13.445,0.725,69.682,15.714,55.435,40.303,4.261,51.631,48.341,51.196,48.782,74.878,25.121,45.455,32.61,21.934,0.12,0.115,striker
299,champion-1,16,29486de9a36941388ac7513c3eb50fec,0.779,50.714,0.34,19.761,40.69,373.6,84.97,10.784,3.268,14.146,41.524,9.232,0.519,64.221,10.483,63.712,33.661,2.626,53.247,50.885,48.186,55.929,72.766,27.233,50.673,28.024,21.301,0.055,0.115,defender
300,champion-1,16,a55891eaab134449a68754e1d6cafa28,0.681,64.999,0.547,10.0,32.499,388.8,35.247,9.323,4.129,11.989,28.279,15.063,0.438,62.586,9.589,63.624,33.75,2.625,56.034,44.379,45.911,54.496,77.31,22.689,52.738,26.749,20.512,0.084,0.184,defender
301,champion-2,17,68006c8d087a46609ef05b70a2a3edbb,0.674,29.629,0.235,42.592,18.333,370.9,38.034,10.906,3.666,13.04,31.555,11.371,0.713,64.521,10.634,58.607,35.567,5.825,49.486,50.585,47.077,53.005,73.171,26.828,43.1,34.431,22.468,0.15,0.132,freestyler
302,champion-2,17,9567769a722e414a9a7b320e175cbe62,0.635,69.074,0.625,5.925,45.714,368.5,15.858,11.098,3.511,12.634,32.311,11.267,0.645,64.339,10.429,56.04,39.835,4.124,53.421,46.189,50.823,48.775,72.641,27.358,47.463,32.208,20.328,0.14,0.09,defender
303,champion-2,17,0c929967add645fea87bc287af0a8e54,0.645,17.037,0.219,42.777,14.333,381.6,33.626,10.002,4.184,9.025,25.828,14.946,0.721,64.613,11.165,57.408,38.044,4.547,49.137,50.174,48.832,50.444,70.508,29.491,47.108,30.667,22.224,0.116,0.091,playmaker
305,champion-2,17,7.66E+16,0.492,25.446,0.303,36.904,35.666,335.7,61.065,8.334,3.752,12.502,26.148,20.062,0.515,63.178,9.844,68.299,29.207,2.492,54.116,46.591,46.365,54.335,75.277,24.722,48.345,30.524,21.13,0.217,0.197,defender
306,champion-2,17,3b7bcef0f507478a8ed197b0c3b1ceda,0.739,59.259,0.369,32.407,45.833,436.4,64.259,11.717,4.369,17.34,34.446,11.999,0.553,68.83,17.067,51.997,42.217,5.784,52.218,48.604,50.595,50.225,74.544,25.455,48.935,31.063,20.0,0.1,0.179,freestyler
308,champion-2,17,7.66E+16,0.641,64.074,0.361,30.0,46.499,361.1,52.546,11.475,3.326,13.92,40.942,7.471,0.529,65.873,13.623,55.229,40.796,3.974,49.211,51.365,50.342,50.232,70.507,29.492,46.204,30.353,23.442,0.16,0.226,striker
309,champion-2,17,0b3eb6081c564da6bd473bef69d4d2b0,0.69,30.333,0.442,51.0,14.999,332.3,24.71,9.534,3.495,10.277,27.19,15.767,0.518,63.169,11.67,56.913,38.896,4.189,53.926,47.261,48.394,52.792,75.598,24.401,43.716,33.511,22.771,0.116,0.33,playmaker
310,champion-2,17,1a8e3fb720cc41c780500631d7d25e43,0.78,35.833,0.36,41.666,36.857,374.0,23.84,10.78,3.859,11.426,28.285,11.406,0.86,64.347,10.756,59.576,37.226,3.196,51.364,49.871,47.578,53.642,74.634,25.365,44.621,31.556,23.822,0.12,0.16,
311,champion-2,17,74321f51fc8b42118ff5b602a984fcc2,0.773,49.166,0.256,18.75,22.714,375.8,17.838,9.746,3.97,10.396,30.218,11.27,0.89,66.473,12.791,52.931,43.444,3.624,46.802,53.586,54.275,46.14,71.513,28.486,46.227,30.701,23.07,0.1,0.176,
312,champion-2,17,285424db4a284ca6bb31617893a98365,0.538,35.166,0.4,44.0,49.333,349.7,26.181,9.274,3.524,10.663,24.117,10.048,0.616,62.339,10.158,57.832,39.173,2.993,52.276,47.981,48.757,51.526,75.218,24.781,52.114,27.9,19.985,0.098,0.119,
313,champion-2,17,d1c5a6be6a5f44ca9e36b0822738b7be,0.593,65.666,0.569,16.5,61.499,419.7,48.911,11.944,4.075,13.395,36.651,8.775,0.653,65.534,14.667,58.687,38.349,2.963,51.586,48.146,51.701,47.975,76.131,23.868,49.329,31.33,19.339,0.217,0.197,
314,champion-2,17,c1244c1b81b542b48ba613ee080d7bae,0.593,46.851,0.409,7.407,44.285,372.7,65.736,11.08,3.961,10.981,28.009,12.947,0.513,63.682,11.518,63.606,33.245,3.147,49.997,50.208,48.589,51.632,72.828,27.171,51.032,31.985,16.981,0.193,0.12,
315,champion-2,17,7.66E+16,1.08,63.5,0.44,25.0,37.38,417.3,64.219,13.84,4.14,12.37,33.811,10.963,0.96,65.939,11.47,60.932,34.915,4.152,50.139,50.232,49.168,51.226,72.873,27.126,45.976,30.153,23.869,0.14,0.1,
316,champion-2,17,0eee484a574c4dfe9a6f1681c7b98d98,0.9,59.833,0.4,15.666,38.452,348.8,26.46,12.92,3.72,8.458,27.908,10.61,0.759,65.717,12.788,54.406,41.915,3.678,48.659,50.916,53.011,46.552,72.727,27.272,44.258,31.284,24.457,0.08,0.199,
317,champion-2,17,7.66E+16,0.839,63.333,0.3,9.166,32.333,502.3,58.54,9.5,4.999,12.497,32.306,11.955,0.9,68.926,16.477,51.938,41.76,6.3,47.629,53.318,52.275,48.678,71.615,28.384,42.583,34.906,22.509,0.12,0.06,
318,champion-2,17,8fec8a90416944a8b508086a2ccbbff5,0.817,46.0,0.339,33.0,42.619,347.6,33.88,10.646,3.49,11.798,32.471,10.53,0.499,64.273,11.817,62.041,35.261,2.696,51.955,48.103,47.924,52.002,75.84,24.159,49.671,32.041,18.287,0.179,0.12,
319,champion-2,17,7035e677d60946fab1b22c53af7447ca,0.945,55.166,0.375,18.166,34.857,338.7,11.653,11.135,3.711,9.826,27.757,13.723,0.877,62.156,11.277,53.856,41.718,4.424,48.178,52.682,54.926,45.947,72.968,27.031,43.817,31.132,25.05,0.06,0.097,
320,champion-2,17,7.66E+16,0.539,62.5,0.36,20.0,59.333,301.8,50.58,10.819,3.24,7.164,26.256,13.229,0.82,62.943,8.269,65.722,31.94,2.337,51.34,52.778,48.527,55.618,71.834,28.165,47.254,32.465,20.279,0.38,0.1,
321,champion-2,17,CarlitosRmcXD,0.78,54.0,0.359,24.0,51.416,338.3,55.24,8.46,3.84,9.932,24.637,13.949,0.74,63.321,9.962,56.243,37.829,5.926,52.562,47.778,48.968,51.339,76.885,23.114,49.589,30.442,19.968,0.02,0.1,
322,champion-2,17,6da25b5412c4431aa302e52e5f575c0c,0.634,40.833,0.283,42.5,34.88,362.5,28.037,10.983,3.37,10.676,35.511,7.908,0.566,60.952,9.483,59.713,36.129,4.157,54.2,46.676,46.494,54.371,71.661,28.338,47.418,31.515,21.066,0.02,0.146,
323,champion-2,17,d8f3628338a24d5d803b7ef1b97436c4,0.803,54.166,0.425,27.5,36.095,450.1,59.413,8.525,4.924,15.316,33.881,13.267,0.968,66.943,14.662,56.542,38.042,5.414,50.531,49.887,53.442,47.008,73.472,26.527,45.145,31.046,23.807,0.08,0.117,
324,champion-2,17,f74122d60d9b452c8566a64c0a8481ed,0.816,61.952,0.236,13.761,50.785,368.2,85.79,9.55,4.229,11.273,28.18,9.874,0.73,65.091,14.719,62.697,33.95,3.352,51.117,49.187,50.508,49.782,75.723,24.276,47.098,31.133,21.767,0.216,0.098,
